nobel year,firstname,lastname,category,gender,motivation,birth_country,birth_country_code,death_date,death_country,death_country_code,organization_name,organization_country,age,birth_year,alpha-3
1901,Wilhelm Conrad,Röntgen,physics,male,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Germany,DE,10/2/1923,Germany,DE,Munich University,Germany,56,1845,DEU
1901,Emil,von Behring,medicine,male,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",Poland,PL,31-03-1917,Germany,DE,Marburg University,Germany,47,1854,POL
1901,Henry,Dunant,peace,male,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",Switzerland,CH,30-10-1910,Switzerland,CH,,,73,1828,CHE
1901,Frédéric,Passy,peace,male,"""for his lifelong work for international peace conferences diplomacy and arbitration""",France,FR,12/6/1912,France,FR,,,79,1822,FRA
1901,Sully,Prudhomme,literature,male,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",France,FR,7/9/1907,France,FR,,,62,1839,FRA
1901,Jacobus H.,van 't Hoff,chemistry,male,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",the Netherlands,NL,1/3/1911,Germany,DE,Berlin University,Germany,49,1852,NLD
1902,Emil,Fischer,chemistry,male,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Germany,DE,15-07-1919,Germany,DE,Berlin University,Germany,50,1852,DEU
1902,Theodor,Mommsen,literature,male,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",Germany,DE,1/11/1903,Germany,DE,,,85,1817,DEU
1902,Albert,Gobat,peace,male,"""for his eminently practical administration of the Inter-Parliamentary Union""",Switzerland,CH,16-03-1914,Switzerland,CH,,,59,1843,CHE
1902,Élie,Ducommun,peace,male,"""for his untiring and skilful directorship of the Bern Peace Bureau""",Switzerland,CH,7/12/1906,Switzerland,CH,,,69,1833,CHE
1902,Pieter,Zeeman,physics,male,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",the Netherlands,NL,9/10/1943,the Netherlands,NL,Amsterdam University,the Netherlands,37,1865,NLD
1902,Ronald,Ross,medicine,male,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",India,IN,16-09-1932,United Kingdom,GB,University College,United Kingdom,45,1857,IND
1902,Hendrik A.,Lorentz,physics,male,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",the Netherlands,NL,4/2/1928,the Netherlands,NL,Leiden University,the Netherlands,49,1853,NLD
